id,loss
4,1601.4336
6,2002.1748
9,9154.97
12,5320.689
15,869.5031
17,2337.7678
21,2110.5535
28,936.8137
32,2257.8933
43,3087.0884
46,2583.9172
50,1016.00165
54,1275.143
62,1809.2809
70,2111.7131
71,4597.2793
75,2048.206
77,2319.104
81,2332.6355
83,2242.1306
87,2013.2466
97,1684.9779
103,1355.8314
119,1271.1072
120,1885.0092
127,1055.466
138,3927.273
141,2851.717
148,941.80194
150,2496.4265
151,2079.0505
158,1593.2616
160,6089.6733
165,2481.5625
168,3582.8547
169,3445.959
177,2683.4353
178,3172.2268
184,1895.5505
194,8578.771
198,1668.6366
203,3986.7263
211,2610.3074
217,1202.8284
219,1426.5045
221,3784.772
227,1713.8212
230,1453.9464
235,1831.0342
240,753.889
243,2861.0757
249,6780.195
253,2652.3875
258,1430.0051
261,1536.195
263,3592.5615
264,2667.1208
265,4332.241
268,1566.6946
271,1216.2122
274,5381.488
275,761.75165
279,1632.8889
282,1483.8054
286,2839.711
288,1304.865
294,2505.1184
296,1049.7391
297,1576.8711
300,822.36194
303,8265.362
314,1136.4526
315,4632.174
321,2391.4006
323,4311.3037
330,3761.193
341,1792.1433
342,3824.568
352,1691.5364
353,3500.4854
360,4917.2397
361,2098.6694
362,3914.8096
366,1199.252
372,3563.7405
376,2623.7434
377,2395.0364
379,1519.5492
380,3687.5903
387,1798.4122
392,1963.4258
394,9215.474
395,1557.0841
397,1505.2026
407,5526.503
411,8248.282
416,2556.9417
417,1636.7383
419,3243.8264
428,5189.481
431,1898.6497
436,7368.302
438,1350.5005
445,6770.251
446,7458.855
455,1317.8518
456,1246.051
461,912.46063
463,1889.2628
464,3614.297
466,1695.246
467,1606.0701
470,1240.0757
475,1448.5453
482,2996.2405
490,3025.188
496,1662.3126
497,4116.371
508,2776.7266
510,1689.953
512,1878.6382
513,3142.2258
523,1874.8671
531,4909.6157
532,2120.5757
533,1382.9816
537,1152.8068
544,4645.6895
547,3051.0442
556,7728.1685
565,1233.8541
566,1211.1195
571,1548.053
573,1466.9788
574,886.7041
581,1842.9109
585,1973.567
589,2153.593
597,1680.7771
601,3524.9436
602,1669.2644
613,1684.4557
616,1398.9254
619,2205.3105
622,2209.5305
623,2058.9521
629,1557.7904
634,1491.8499
638,989.8736
642,1074.0217
643,2130.742
645,1067.5165
648,6600.0796
652,1454.022
664,1101.203
666,2123.9536
672,911.7634
676,1826.8044
678,4184.521
682,1660.3995
686,2886.2651
688,2191.3115
689,1318.5073
690,1648.2396
692,9829.992
695,1610.9604
697,3847.0544
698,1899.8795
706,2444.552
708,1570.5571
712,2787.8762
715,4570.0107
717,1255.8473
725,3060.7722
729,1197.4268
737,1427.0835
739,5469.451
747,3872.0874
753,2635.0728
758,2444.912
759,2105.7766
763,1436.0834
773,4791.706
774,2110.2002
776,1436.1519
788,3407.931
790,2258.8528
794,1167.5103
801,2617.669
802,1623.5714
805,1309.6029
809,5085.503
812,1548.0065
825,2411.4094
828,2120.1045
830,1490.8301
833,1281.9413
850,5525.586
852,5940.964
862,1377.182
863,1447.5427
864,1418.6047
865,3217.4348
868,6192.247
872,1617.0197
879,5686.977
880,1457.5553
883,1258.1249
886,1537.5785
923,1730.0736
924,1420.5286
932,1402.587
945,5756.8896
947,6990.313
948,1920.4332
955,3221.884
963,4310.2764
979,1232.0663
989,1460.7886
994,3075.8772
995,1672.0088
998,1549.7384
1000,3565.3892
1018,1575.8885
1019,2016.4132
1028,1693.9717
1034,1313.726
1038,1528.1088
1040,1422.0887
1042,1367.0284
1057,6797.7085
1058,2023.3507
1063,1131.1775
1066,3900.6257
1071,4008.7246
1073,3997.4702
1074,2667.8357
1077,2909.7874
1080,9038.058
1088,956.0399
1096,875.80804
1097,10241.393
1105,5409.887
1115,1735.3027
1116,2519.8567
1122,2347.0977
1130,4643.4834
1133,1059.3373
1137,2100.8362
1140,1947.081
1143,7908.7437
1149,5348.8794
1150,890.75586
1153,817.78015
1157,908.36646
1180,686.7184
1183,854.78766
1188,1592.1945
1193,1074.174
1200,763.50916
1209,3404.968
1214,2018.777
1219,1962.7079
1223,5771.4404
1227,897.5645
1228,1391.826
1229,3855.1013
1233,1196.8937
1238,4796.9824
1239,1642.3164
1241,3293.508
1243,1818.6051
1244,1244.8983
1245,3700.0007
1277,3988.818
1279,3613.9146
1292,11093.711
1293,1414.8407
1299,10510.429
1304,2831.3171
1313,3307.7483
1328,2182.9568
1330,993.1387
1334,1572.1261
1335,1231.3228
1336,5045.3496
1341,1015.71436
1344,1241.7827
1351,1067.5038
1352,2414.8018
1354,1585.7375
1368,4082.386
1373,1360.2854
1375,782.6252
1381,1625.4878
1384,2948.0093
1385,3737.9963
1388,5366.738
1401,4834.163
1402,2393.7495
1404,1396.3417
1406,1526.099
1409,1009.465
1422,1419.4675
1429,3122.5278
1433,5436.0923
1438,936.0778
1444,1213.5579
1446,1207.3076
1450,1103.095
1451,795.8562
1454,1757.7466
1458,2336.9128
1461,2672.3606
1464,5651.3696
1465,1131.4602
1478,1908.2115
1479,1567.8813
1480,2855.3418
1484,2061.7058
1486,1090.1079
1488,954.9719
1489,3105.7185
1491,1094.1589
1507,2294.5547
1515,1725.3275
1519,2583.129
1528,1848.3242
1529,1081.7876
1530,2897.063
1532,1055.5892
1541,1560.1625
1542,3381.6519
1547,1293.9303
1549,1080.2654
1553,2431.8433
1554,2519.5
1555,1362.0157
1559,1565.7252
1565,1397.2181
1568,1074.1007
1576,3216.8643
1579,915.47473
1592,1083.6797
1596,3008.857
1605,955.36316
1607,1530.846
1612,1990.3002
1617,2846.7078
1619,2148.8303
1620,8100.148
1624,1914.2491
1627,1415.1389
1633,1914.1478
1636,1264.6461
1639,1220.5759
1640,3988.4604
1644,1037.7156
1646,1556.563
1647,2583.0354
1654,1302.4803
1655,3101.5688
1664,5611.8735
1665,2048.038
1667,4956.1465
1669,1148.8267
1678,1682.8982
1682,2084.5469
1689,1129.9365
1690,2546.389
1693,5415.6787
1695,926.35
1705,2065.9573
1706,2200.04
1708,1968.0713
1716,2000.0068
1720,9124.098
1722,1571.3976
1749,4314.6934
1750,2057.06
